"subnum","age","01_win_full_arsl","01_win_full_vln","01_win_low_arsl","01_win_low_vln","01_win_med_arsl","01_win_med_vln","att_1","att_2","01_lose_full_arsl","01_lose_full_vln","01_lose_low_arsl","01_lose_low_vln","01_lose_med_arsl","01_lose_med_vln","att_3","att_4","04_a_full_arsl","04_a_full_vln","04_a_low_arsl","04_a_low_vln","04_a_med_arsl","04_a_med_vln","04_h_full_arsl","04_h_full_vln","04_h_low_arsl","04_h_low_vln","04_h_med_arsl","04_h_med_vln","04_s_full_arsl","04_s_full_vln","04_s_low_arsl","04_s_low_vln","04_s_med_arsl","04_s_med_vln","116_a_full_arsl","116_a_full_vln","116_a_low_arsl","116_a_low_vln","116_a_med_arsl","116_a_med_vln","116_h_full_arsl","116_h_full_vln","116_h_low_arsl","116_h_low_vln","116_h_med_arsl","116_h_med_vln","116_s_full_arsl","116_s_full_vln","116_s_low_arsl","116_s_low_vln","116_s_med_arsl","116_s_med_vln","133_a_full_arsl","133_a_full_vln","133_a_low_arsl","133_a_low_vln","133_a_med_arsl","133_a_med_vln","133_h_full_arsl","133_h_full_vln","133_h_low_arsl","133_h_low_vln","133_h_med_arsl","133_h_med_vln","133_s_full_arsl","133_s_full_vln","133_s_low_arsl","133_s_low_vln","133_s_med_arsl","133_s_med_vln","49_a_full_arsl","49_a_full_vln","49_a_low_arsl","49_a_low_vln","49_a_med_arsl","49_a_med_vln","49_h_full_arsl","49_h_full_vln","49_h_low_arsl","49_h_low_vln","49_h_med_arsl","49_h_med_vln","49_s_full_arsl","49_s_full_vln","49_s_low_arsl","49_s_low_vln","49_s_med_arsl","49_s_med_vln","69_a_full_arsl","69_a_full_vln","69_a_low_arsl","69_a_low_vln","69_a_med_arsl","69_a_med_vln","69_h_full_arsl","69_h_full_vln","69_h_low_arsl","69_h_low_vln","69_h_med_arsl","69_h_med_vln","69_s_full_arsl","69_s_full_vln","69_s_low_arsl","69_s_low_vln","69_s_med_arsl","69_s_med_vln","113_a_full_arsl","113_a_full_vln","113_a_low_arsl","113_a_low_vln","113_a_med_arsl","113_a_med_vln","113_h_full_arsl","113_h_full_vln","113_h_low_arsl","113_h_low_vln","113_h_med_arsl","113_h_med_vln","113_s_full_arsl","113_s_full_vln","113_s_low_arsl","113_s_low_vln","113_s_med_arsl","113_s_med_vln"
131,"27",7,7,7,7,7,7,4,7,1,1,1,1,1,7,2,6,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,3,3,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,4,4,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1
132,"46",3,4,1,4,1,5,4,7,1,4,1,4,1,3,2,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,5,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,5,1,4,1,4,1,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,3,4,1,4,1,4,1,4,1,4,2,3,2,3,1,4,1,4,1,4,1,4,3,5,1,4,3,5,1,4,2,3,1,4
133,"21",4,5,5,5,4,4,4,7,2,6,1,1,1,1,2,6,4,4,5,4,4,4,5,4,5,5,5,4,4,4,4,4,5,5,5,5,3,6,3,4,4,5,4,4,5,4,5,4,4,4,5,4,4,4,4,5,1,2,4,5,5,5,5,6,5,5,5,4,4,4,4,4,5,5,4,4,3,3,4,3,5,4,3,6,5,5,5,4,5,4,3,6,5,4,5,3,2,6,4,5,5,6,5,4,4,5,2,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,5
134,"48",6,7,6,6,5,7,4,7,6,7,6,6,6,4,2,6,1,5,6,6,5,6,1,5,6,5,5,5,5,6,3,6,1,6,1,6,1,6,1,6,6,6,6,6,1,4,5,5,4,6,2,6,2,6,5,5,1,5,6,6,7,6,6,4,1,6,6,5,5,6,1,3,1,6,1,6,6,6,7,6,6,5,3,6,6,6,1,6,1,5,6,6,1,5,6,6,6,6,7,6,1,6,5,6,1,6,1,5,1,6,1,5,6,6,6,6,6,7,1,5,6,5,4,6
135,"36",1,6,1,7,1,6,4,7,1,2,1,3,2,3,2,6,1,2,1,3,1,3,1,6,1,5,1,4,1,2,1,3,1,2,1,3,1,3,1,1,1,6,1,3,1,5,1,2,1,3,1,4,1,1,1,3,1,2,1,7,1,4,1,6,1,3,1,3,1,3,1,2,1,3,1,2,1,3,1,4,1,3,1,2,1,3,1,3,1,4,1,3,1,3,1,5,1,5,1,6,1,3,1,3,1,2,1,2,1,3,1,3,2,5,1,5,1,6,1,3,1,3,1,3
136,"36",6,6,6,6,6,6,4,7,2,2,3,3,2,2,2,6,1,1,3,3,2,2,6,6,5,6,5,5,1,1,2,2,2,2,1,1,3,3,2,2,7,7,6,6,6,6,2,2,3,3,2,2,2,2,3,3,3,3,7,7,5,5,6,6,3,3,4,4,3,3,2,2,3,3,2,2,6,6,5,5,5,5,2,2,3,3,2,2,2,2,3,3,2,2,7,7,6,6,6,6,2,2,1,1,3,3,2,2,3,3,3,3,7,7,6,6,6,6,1,1,2,2,1,1
137,"30",7,7,5,3,5,6,4,7,6,6,7,7,6,7,2,6,7,5,6,7,6,5,5,7,6,4,7,6,6,3,6,6,6,4,6,6,6,5,5,4,5,5,4,5,6,6,6,6,6,5,6,4,5,6,6,7,6,7,6,7,7,6,6,6,4,5,6,6,5,5,5,6,6,6,6,4,5,6,6,5,7,4,7,7,6,6,6,6,6,7,7,6,7,6,7,6,6,6,5,4,5,3,6,4,7,6,5,6,5,4,5,4,6,7,5,6,6,5,7,6,5,3,6,4
138,"56",7,7,7,7,7,7,4,7,2,1,1,1,1,1,2,6,4,2,1,4,3,2,4,4,5,5,4,6,5,4,2,2,4,3,4,2,3,3,1,1,6,6,6,5,5,5,2,2,2,3,3,3,4,3,4,3,3,3,6,6,5,5,4,5,5,3,4,4,4,4,2,1,3,3,2,2,6,6,6,5,5,4,5,4,4,3,3,2,3,3,3,2,3,3,7,7,5,6,7,7,4,4,4,4,3,3,3,2,3,3,3,3,5,6,4,5,7,6,5,4,4,3,3,2
139,"30",7,7,7,7,7,7,4,7,7,7,7,7,7,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
140,"49",4,4,3,4,4,4,4,7,2,4,3,4,3,4,2,6,2,3,4,4,4,4,3,5,3,4,5,5,2,4,3,4,3,4,5,3,3,3,4,3,3,5,3,3,4,4,3,4,2,4,3,4,3,5,4,4,5,6,4,4,3,5,5,6,5,5,2,4,3,5,4,3,3,4,4,3,2,4,3,4,3,4,4,3,4,5,3,4,5,3,3,4,4,3,3,4,3,4,4,4,3,4,4,3,3,3,4,3,2,4,4,4,4,5,4,5,4,5,5,3,2,4,3,4
141,"25",2,4,2,4,2,4,4,4,2,4,1,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,1,4,2,4,1,4,2,4,2,4,2,4,2,5,1,4,1,4,1,4,1,4,1,4,1,4,2,4,1,4,1,4
142,"20",7,7,5,6,6,7,4,7,2,1,4,2,3,2,2,6,3,2,4,2,5,2,5,1,5,7,4,7,3,2,5,2,3,3,3,3,3,2,4,2,4,6,3,3,4,2,3,2,4,3,4,2,3,1,4,3,3,3,3,7,4,6,4,6,3,1,4,4,3,3,4,2,4,2,4,1,2,6,4,6,4,7,2,1,4,2,5,3,4,1,6,6,4,2,4,7,5,6,3,4,3,2,3,2,1,2,4,1,5,3,6,3,4,7,2,7,6,7,3,1,4,2,4,1
143,"25",5,5,7,5,5,5,4,7,4,4,1,1,7,5,2,6,1,2,3,6,4,3,7,3,7,4,2,2,7,2,1,3,6,3,5,7,4,2,6,4,2,7,7,5,2,5,5,4,1,2,1,4,6,6,6,1,3,2,3,3,5,5,4,3,2,3,2,1,4,4,3,7,1,2,3,7,6,7,4,3,5,6,4,1,7,2,7,5,1,1,3,3,2,2,7,6,2,3,3,2,1,1,7,3,7,6,5,2,3,6,3,5,5,5,3,4,6,5,4,1,3,4,4,3
144,"30",6,6,7,7,7,7,4,7,7,7,7,7,7,7,2,6,5,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
145,"24",7,7,6,5,7,7,4,7,3,1,4,3,1,1,2,6,2,4,1,4,1,3,1,5,5,5,1,7,1,3,1,4,2,4,2,2,2,3,1,1,2,6,5,4,2,5,1,3,1,2,1,3,3,4,1,3,1,2,3,6,2,5,4,4,1,3,1,4,1,3,2,4,3,2,1,4,3,5,1,5,1,4,1,2,1,2,2,2,1,2,2,1,1,3,1,5,2,2,1,5,2,2,4,2,1,3,1,4,2,4,1,4,2,4,2,5,1,5,1,3,1,3,1,3
146,"57",1,7,1,7,1,7,4,7,1,7,1,7,1,7,2,6,1,1,1,4,1,1,1,7,1,7,1,6,1,1,1,3,1,2,1,1,1,1,1,1,1,6,1,7,1,7,1,2,1,4,1,1,1,1,1,2,1,1,1,7,1,6,1,7,1,3,1,4,1,3,4,1,3,3,4,1,7,7,7,6,7,7,4,2,4,4,4,3,1,1,1,2,1,2,1,4,1,7,1,7,1,3,1,2,1,2,1,1,1,1,1,1,1,7,1,7,1,7,1,1,1,3,1,3
147,"38",1,4,3,4,1,4,4,7,1,4,1,4,2,4,2,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,1,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,1,4,1,4,4,4,1,4,1,4,2,4,1,4,1,4
148,"50",6,7,6,7,5,7,4,7,4,4,5,2,4,4,2,6,6,4,4,4,4,4,5,7,5,6,3,6,4,3,5,3,6,4,5,1,4,1,6,2,4,4,4,5,5,6,4,3,4,4,4,3,7,2,4,3,5,3,4,6,4,5,4,6,5,4,4,3,4,3,7,5,5,2,5,2,4,5,3,4,4,4,4,3,5,4,4,3,5,2,5,3,4,2,6,7,6,6,6,7,6,3,6,3,5,3,5,3,6,3,5,3,5,6,5,6,5,6,5,3,4,4,5,2
149,"40",3,6,5,6,4,5,4,7,2,2,2,3,2,3,2,6,1,4,1,4,1,4,2,3,2,4,2,3,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,3,2,3,1,4,1,4,1,4,1,3,1,4,1,4,2,3,2,3,2,3,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,3,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,3,2,3,2,4,1,4,1,4,1,4,1,4,1,4,1,4,2,3,2,3,2,3,2,3,1,4,1,4
150,"38",4,4,4,5,4,4,4,7,2,2,4,2,4,3,2,6,5,2,4,3,3,2,5,6,4,5,4,5,3,2,5,2,5,3,6,1,3,3,3,2,4,6,5,5,5,6,5,2,2,3,6,2,5,1,4,2,6,2,6,7,3,5,4,6,3,3,2,2,2,3,5,2,4,2,5,2,5,6,4,5,5,5,5,2,3,3,3,3,6,2,5,2,4,2,6,7,3,5,5,6,3,2,5,2,5,2,7,1,5,3,6,2,6,6,4,5,5,6,3,1,3,3,3,2
151,"57",5,5,5,5,5,5,4,7,4,4,4,4,4,4,2,6,3,3,4,4,3,3,4,5,5,5,2,4,3,3,3,3,3,3,3,3,3,4,3,3,4,5,4,5,4,5,3,3,4,4,2,3,4,3,4,4,3,3,4,5,4,4,5,5,3,3,4,4,4,4,3,3,4,4,4,3,4,5,5,5,5,5,3,2,4,4,4,5,3,3,4,4,4,4,5,6,4,4,5,5,2,3,4,4,3,3,4,4,4,4,3,3,5,5,5,5,5,5,4,4,4,4,2,3
152,"25",7,6,7,7,6,7,4,7,7,6,6,7,6,7,2,6,7,6,7,4,7,5,7,4,7,6,7,7,6,7,7,7,6,7,7,6,7,6,7,7,6,7,7,6,6,7,7,6,6,7,5,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,5,7,7,7,6,7,6,7,7,5,6,7,7,7,7,5,7,7,7,6,7,6,7,6,7,7,7,6,7,7,7,7,6,7,7,6,7,6,6,7,7,7,6,7,6,6,7,7,7,6,7,6
153,"20",2,5,4,5,5,5,4,7,3,3,2,2,3,3,2,6,3,2,2,3,1,2,6,7,3,5,5,6,3,2,4,3,5,2,5,1,4,3,4,4,5,6,2,3,2,4,2,1,3,1,1,1,3,2,3,3,2,1,3,2,6,7,7,7,2,2,2,4,2,2,4,2,2,2,3,3,3,4,2,2,4,3,5,2,3,3,3,2,3,2,3,3,1,1,3,3,5,6,5,6,5,3,3,3,2,3,4,4,5,1,1,2,4,6,6,6,4,5,4,1,4,2,4,3
154,"58",7,7,6,6,7,6,4,7,7,1,4,2,5,2,2,6,3,4,4,4,5,3,6,6,5,5,5,5,7,3,3,3,5,2,7,1,7,1,6,1,6,7,4,5,6,6,7,1,2,3,5,2,7,2,7,2,7,1,7,7,4,5,7,7,1,2,4,4,1,3,1,1,6,2,3,2,7,7,6,5,6,6,7,1,6,3,6,2,7,2,7,3,7,3,7,7,6,6,5,6,5,2,7,3,5,2,7,2,4,3,4,2,5,5,5,5,6,6,2,2,6,3,5,2
155,"50",7,7,6,6,5,5,4,7,1,1,1,1,1,1,2,6,1,2,2,3,2,3,6,6,5,5,4,5,1,4,3,5,1,3,1,1,1,2,1,1,4,6,5,6,5,6,1,3,3,4,1,3,1,1,1,3,1,2,7,7,4,5,7,7,3,3,3,4,2,3,1,1,2,3,1,2,7,7,4,5,4,5,1,3,1,3,1,3,1,1,2,3,1,3,5,6,7,7,6,6,2,3,1,2,1,3,1,2,2,3,1,2,7,7,4,6,5,6,1,4,2,3,1,3
156,"23",1,4,1,4,1,4,4,7,1,4,1,4,1,4,2,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
157,"27",5,7,5,7,4,6,4,7,1,1,4,2,3,1,2,6,1,1,2,3,4,3,1,6,1,4,3,6,1,2,1,1,6,1,4,1,1,1,2,1,2,5,1,5,1,5,1,1,2,2,1,2,1,2,1,4,1,2,3,6,1,5,1,4,2,2,1,3,1,2,1,1,1,1,1,4,1,4,1,4,1,4,1,3,1,3,3,4,1,1,1,1,1,3,2,6,1,5,3,5,1,3,1,2,2,3,2,2,1,1,1,2,3,6,2,5,1,5,2,3,1,1,1,1
158,"30",7,7,1,1,7,7,4,7,7,7,5,5,7,7,2,6,2,2,3,3,3,3,4,4,2,2,7,7,3,3,1,1,5,5,5,5,1,1,1,1,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,4,4,7,7,4,4,7,7,1,1,5,5,1,1,2,2,6,6,4,4,7,7,7,7,7,7,1,1,1,1,1,1,1,1,4,4,2,2,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,2,2,1,1
159,"38",7,7,6,7,7,7,4,7,2,2,2,2,2,2,2,6,1,1,2,2,2,2,7,7,6,6,7,7,1,1,2,2,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,2,2,1,1,2,2,1,1,7,7,6,6,7,7,2,3,2,2,4,3,1,1,1,1,1,1,7,7,5,6,7,7,1,1,2,2,2,2,1,1,2,2,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,4,3,2,2
160,"45",6,6,5,6,6,6,4,7,7,1,5,3,5,3,2,6,5,3,5,3,5,4,5,5,6,5,5,6,6,2,6,3,6,2,6,3,5,3,6,2,7,7,6,6,6,5,5,3,2,4,5,3,5,4,4,4,6,3,7,7,5,5,6,6,5,3,1,4,1,4,7,1,4,4,5,3,6,5,6,6,5,6,5,2,4,3,5,3,7,3,4,4,5,3,7,7,5,5,5,5,7,1,5,2,5,3,5,2,1,4,4,3,7,7,6,6,6,6,5,2,4,4,5,3
161,"48",7,7,7,7,7,7,4,7,1,1,1,4,4,4,2,6,1,1,1,2,1,1,5,6,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,6,6,6,1,1,2,2,1,2,1,1,1,1,2,2,5,5,4,5,2,4,2,2,1,2,2,2,1,1,3,4,1,2,6,7,5,6,6,6,1,1,1,2,1,1,1,1,1,2,1,1,6,6,6,6,6,7,1,1,1,1,1,2,1,1,2,2,1,2,6,7,5,5,2,3,2,2,3,4,1,1
162,"45",5,6,5,5,6,6,4,7,6,2,2,1,3,3,2,6,5,1,5,1,6,3,6,6,7,7,7,7,4,2,4,2,4,3,2,2,4,2,6,6,7,7,7,7,6,7,3,3,5,4,5,3,5,1,6,3,5,5,7,7,5,6,7,7,6,2,6,5,5,2,5,3,6,2,1,1,6,3,7,7,6,6,2,1,4,3,3,2,1,1,3,3,2,2,7,7,5,5,7,7,3,3,2,1,2,2,6,3,4,2,2,2,7,6,7,7,7,7,3,3,6,6,4,2
163,"47",7,7,7,7,7,7,4,7,7,1,5,1,6,1,2,6,3,3,4,5,4,3,7,7,4,4,6,5,6,3,5,3,3,3,5,2,5,3,6,1,7,7,5,5,6,7,3,3,4,3,1,2,3,2,4,4,3,2,7,7,6,6,7,7,4,4,4,4,4,3,3,3,3,3,5,2,7,7,5,5,6,6,5,3,4,3,3,3,3,2,1,4,5,3,7,7,5,5,6,6,5,3,4,3,4,3,3,2,5,3,5,3,7,7,6,5,6,7,5,3,4,4,2,2
164,"50",1,4,1,6,4,4,4,7,1,2,1,4,1,2,2,6,1,1,1,1,1,3,3,6,4,5,1,6,1,2,1,2,1,2,1,1,1,2,1,1,1,6,4,5,4,6,1,1,1,2,1,2,1,1,1,2,1,2,1,6,1,6,1,6,1,2,1,3,1,2,1,2,1,2,1,2,5,6,1,6,1,6,1,2,1,2,1,2,1,1,1,2,1,2,4,6,4,6,4,7,1,2,1,2,1,1,1,2,1,2,1,2,4,6,3,6,4,6,1,1,1,2,1,1
165,"30",1,5,1,4,1,6,4,7,1,3,1,3,1,3,2,6,1,3,1,3,1,3,1,6,1,5,1,5,1,3,1,3,1,3,1,2,1,3,1,3,1,7,1,5,1,5,1,2,1,3,1,2,1,2,1,3,1,4,1,6,1,5,1,6,1,3,1,4,1,3,1,4,1,3,1,4,1,5,1,5,1,5,1,3,1,3,1,4,1,4,1,4,1,4,1,7,1,5,1,6,1,3,1,3,1,3,1,3,1,4,1,3,1,7,1,5,1,6,1,2,1,3,1,2
166,"25",7,7,7,7,7,7,4,7,7,6,1,1,1,1,2,6,1,1,1,1,1,1,7,7,5,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,5,7,7,1,1,1,1,1,1,1,1,6,6,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,7,7,1,1,1,1,1,1
167,"34",3,6,4,7,4,5,4,7,2,6,4,1,3,6,2,6,1,1,1,4,1,2,1,5,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,2,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,3,2,5,1,1,1,1,1,4,1,1,1,4,1,2,1,4,1,3,1,5,1,1,1,2,1,1,1,1,1,4,1,1,1,5,1,4,2,5,1,1,1,1,1,2,1,1,1,1,1,1,2,6,1,5,1,5,1,1,1,1,1,1
168,"54",3,6,2,6,2,5,4,7,2,2,2,3,2,3,2,6,2,3,2,3,2,3,2,5,2,5,2,5,2,3,2,3,2,3,2,2,2,4,2,3,2,5,2,5,2,6,2,2,2,4,2,3,2,3,2,3,1,4,2,5,2,5,2,5,2,3,2,4,2,3,2,4,2,3,2,3,2,5,2,5,2,5,2,3,2,3,2,3,2,2,2,3,2,3,2,6,2,5,2,5,2,3,2,3,2,3,2,3,2,3,2,3,2,5,2,5,2,5,2,3,1,3,2,2
169,"47",7,7,7,7,7,7,4,7,1,1,1,1,1,1,2,6,1,1,1,1,1,1,6,6,4,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,7,7,1,1,1,4,1,1,1,1,1,1,1,1,6,6,5,6,7,7,1,1,1,1,1,1
170,"25",5,5,7,6,2,1,4,7,2,4,3,2,3,3,2,6,4,4,5,5,4,4,1,1,4,4,4,4,4,4,2,2,3,3,1,1,4,4,1,1,4,4,6,6,4,4,3,3,1,1,2,3,4,2,3,3,2,2,6,7,2,2,7,7,3,2,4,4,4,4,3,2,3,3,3,2,1,1,6,6,1,1,1,1,4,4,4,4,1,1,3,2,1,1,2,1,5,5,2,2,1,1,1,1,1,1,3,1,1,1,3,3,3,3,6,6,4,4,2,2,3,3,4,4
171,"58",7,7,7,7,6,6,4,7,1,1,2,3,2,1,2,6,2,1,2,1,2,1,7,7,5,5,7,7,2,1,2,3,1,2,1,1,1,1,1,1,5,6,5,5,6,6,1,1,3,3,3,2,1,1,2,2,2,1,7,7,5,5,6,7,2,2,3,4,1,2,1,1,1,1,1,1,6,7,6,6,6,7,2,2,3,3,1,2,1,1,2,2,1,1,6,7,6,5,5,5,1,1,2,1,2,1,1,1,1,1,1,1,7,7,5,5,6,7,2,2,3,3,5,5
172,"54",4,5,4,4,3,4,4,7,4,3,5,3,1,4,2,6,5,3,2,3,4,3,2,6,2,6,4,5,4,2,4,3,3,3,3,3,2,2,3,1,4,5,3,5,5,5,2,2,4,4,2,3,4,2,4,4,3,1,4,7,5,6,5,5,5,2,4,3,4,2,4,2,1,2,5,2,2,5,2,3,2,5,4,3,4,3,4,3,5,1,5,3,5,3,5,6,5,6,5,6,5,2,5,3,6,1,5,2,5,3,5,2,5,7,6,7,6,7,6,1,5,5,6,2
173,"43",6,6,3,5,3,7,4,7,4,5,6,6,2,7,2,6,5,6,4,6,4,6,3,5,3,7,4,6,3,6,3,6,5,6,5,5,3,6,3,7,3,6,3,5,2,6,3,6,4,6,4,7,3,7,3,7,3,6,5,7,7,5,6,5,4,6,4,6,3,6,3,6,5,6,2,6,2,5,4,7,2,5,1,6,3,6,3,6,2,6,5,6,2,6,4,7,3,7,2,5,3,6,5,6,3,6,5,6,3,6,4,7,4,6,6,6,5,5,3,7,2,6,6,5
174,"48",6,6,4,6,4,5,4,7,5,1,4,3,5,2,2,6,4,2,4,3,5,3,6,7,4,5,5,5,7,1,4,3,5,2,7,1,5,2,7,1,5,7,3,6,5,6,3,2,3,3,4,3,4,1,3,3,4,3,7,7,5,5,5,6,1,1,2,4,2,3,6,1,4,3,7,1,6,7,4,5,4,6,5,2,4,3,4,3,6,1,5,3,5,2,7,7,5,6,5,6,5,2,5,2,5,2,5,2,2,3,5,2,5,6,4,5,4,5,5,1,1,1,2,1
175,"25",7,7,7,7,7,7,4,7,7,7,7,7,7,6,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
176,"43",5,5,5,5,5,5,4,7,5,2,4,3,5,3,2,6,5,2,5,2,5,2,6,7,6,6,6,7,7,1,6,2,6,2,6,1,6,1,6,1,6,7,5,6,5,6,6,2,5,2,6,2,6,2,5,2,6,2,6,7,5,6,5,6,6,3,5,2,5,2,7,1,6,2,6,1,6,6,5,6,6,6,6,2,5,2,6,3,6,2,5,2,6,1,6,7,5,6,6,6,6,2,6,2,6,2,5,2,6,2,5,2,6,7,5,6,6,7,6,2,5,2,6,2
177,"42",1,7,1,7,1,7,4,7,1,4,1,4,1,1,2,6,1,4,1,4,1,1,1,7,1,7,1,7,1,4,1,4,1,4,1,4,1,4,1,4,1,7,1,7,1,7,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,7,1,4,1,4,1,4,1,4,1,4,1,4,1,7,1,7,1,7,1,1,1,1,1,4,1,4,1,4,1,4,1,7,1,7,1,7,1,4,1,4,1,4,1,4,1,4,1,4,1,7,1,7,1,7,1,4,1,4,1,4
178,"38",4,4,4,4,5,5,4,7,4,4,4,4,5,5,2,6,1,2,3,3,4,3,7,7,6,6,5,6,1,1,4,4,5,5,1,1,1,1,1,1,7,7,5,5,6,6,1,1,3,3,2,2,1,1,3,3,2,2,7,7,5,5,7,7,3,3,3,3,3,3,1,1,2,2,1,1,7,7,5,5,7,7,3,3,3,3,1,3,1,1,2,2,1,1,7,7,6,6,7,7,1,3,3,3,2,2,1,1,3,3,3,3,7,7,6,6,5,6,1,1,3,3,3,3
179,"43",1,4,1,4,1,4,4,7,1,4,1,4,1,4,2,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,1,3,1,4,1,4,1,4,1,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
180,"25",5,6,4,5,3,5,4,7,5,2,2,4,4,2,2,6,4,2,4,3,3,2,5,5,1,5,5,6,3,2,5,3,3,3,6,1,3,3,4,2,4,5,4,1,5,5,5,2,4,3,2,2,4,2,3,3,3,2,5,6,4,5,4,6,4,2,4,4,2,3,3,3,2,4,4,2,4,5,4,4,4,5,2,2,4,3,3,2,5,1,3,3,3,3,5,7,3,5,4,6,5,1,5,1,3,3,5,2,4,3,4,3,6,7,4,5,4,6,4,1,3,2,3,2
