"subnum1","age","X04_a_low_arsl","X04_a_low_vln","X04_a_full_arsl","X04_a_full_vln","X04_a_med_arsl","X04_a_med_vln","X04_h_full_arsl","X04_h_full_vln","X04_h_low_arsl","X04_h_low_vln","X04_h_med_arsl","X04_h_med_vln","X04_s_full_arsl","X04_s_full_vln","X04_s_low_arsl","X04_s_low_vln","X04_s_med_arsl","X04_s_med_vln","X116_a_full_arsl","X116_a_full_vln","X116_a_low_arsl","X116_a_low_vln","X116_a_med_arsl","X116_a_med_vln","X116_h_full_arsl","X116_h_full_vln","X116_h_low_arsl","X116_h_low_vln","X116_h_med_arsl","X116_h_med_vln","X116_s_full_arsl","X116_s_full_vln","X116_s_low_arsl","X116_s_low_vln","X116_s_med_arsl","X116_s_med_vln","X133_a_full_arsl","X133_a_full_vln","X133_a_low_arsl","X133_a_low_vln","X133_a_med_arsl","X133_a_med_vln","X133_h_full_arsl","X133_h_full_vln","X133_h_low_arsl","X133_h_low_vln","X133_h_med_arsl","X133_h_med_vln","X133_s_full_arsl","X133_s_full_vln","X133_s_low_arsl","X133_s_low_vln","X133_s_med_arsl","X133_s_med_vln","X49_a_full_arsl","X49_a_full_vln","X49_a_low_arsl","X49_a_low_vln","X49_a_med_arsl","X49_a_med_vln","X49_h_full_arsl","X49_h_full_vln","X49_h_low_arsl","X49_h_low_vln","X49_h_med_arsl","X49_h_med_vln","X49_s_full_arsl","X49_s_full_vln","X49_s_low_arsl","X49_s_low_vln","X49_s_med_arsl","X49_s_med_vln","X69_a_full_arsl","X69_a_full_vln","X69_a_low_arsl","X69_a_low_vln","X69_a_med_arsl","X69_a_med_vln","X69_h_full_arsl","X69_h_full_vln","X69_h_low_arsl","X69_h_low_vln","X69_h_med_arsl","X69_h_med_vln","X69_s_full_arsl","X69_s_full_vln","X69_s_low_arsl","X69_s_low_vln","X69_s_med_arsl","X69_s_med_vln","X113_a_full_arsl","X113_a_full_vln","X113_a_low_arsl","X113_a_low_vln","X113_a_med_arsl","X113_a_med_vln","X113_h_full_arsl","X113_h_full_vln","X113_h_low_arsl","X113_h_low_vln","X113_h_med_arsl","X113_h_med_vln","X113_s_full_arsl","X113_s_full_vln","X113_s_low_arsl","X113_s_low_vln","X113_s_med_arsl","X113_s_med_vln"
46,"40",4,4,3,2,3,3,NA,7,6,6,5,4,NA,NA,2,2,NA,NA,NA,NA,3,2,2,2,6,6,NA,7,6,6,NA,NA,3,3,2,2,NA,NA,3,3,3,4,5,6,5,5,NA,NA,5,4,4,4,NA,NA,4,3,4,3,6,2,NA,7,NA,NA,6,6,2,2,3,3,NA,NA,NA,NA,3,3,2,2,NA,7,NA,NA,2,6,NA,NA,2,2,NA,NA,6,2,5,4,4,3,NA,7,NA,NA,5,5,2,2,3,3,3,3
47,"33",5,4,4,4,5,4,NA,NA,3,4,4,4,NA,NA,6,2,5,3,NA,NA,NA,NA,6,NA,4,4,5,3,2,5,3,5,4,4,5,3,4,3,NA,NA,5,3,6,6,NA,NA,5,6,5,4,3,4,NA,NA,3,4,4,3,4,4,5,6,4,3,4,5,5,3,4,4,4,3,5,3,5,4,5,3,6,5,3,4,NA,NA,6,2,NA,NA,5,2,3,4,NA,NA,NA,NA,6,7,NA,NA,4,5,NA,NA,5,2,5,3
48,"48",4,4,3,3,4,4,NA,7,4,5,NA,NA,4,4,NA,NA,3,2,NA,NA,NA,2,NA,NA,6,6,4,4,4,4,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,3,6,6,5,5,4,5,3,2,4,4,4,3,NA,NA,4,4,NA,2,NA,NA,5,5,5,5,NA,3,4,3,2,2,NA,NA,4,4,NA,NA,NA,7,NA,NA,NA,7,4,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,5,6,NA,NA,NA,NA,3,3,4,3
49,"30",NA,4,4,4,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,4,NA,4,NA,NA,5,3,NA,4,NA,4,NA,NA,NA,NA,4,4,5,3,NA,4,3,4,NA,4,NA,2,4,4,6,NA,NA,4,NA,4,NA,NA,5,5,NA,4,NA,4,NA,NA,4,4,4,4,NA,4,4,4,4,4,3,NA,NA,4,5,4,4,4,NA,NA,4,4,2,5,4,4,NA,NA,5,3,NA,4,NA,NA,4,3,NA,4,NA,4,NA,4,NA,4,NA,4,3,4
50,"46",2,3,3,3,3,3,NA,NA,4,5,4,5,4,4,NA,NA,NA,NA,3,3,4,4,3,3,6,6,5,5,6,6,2,2,3,4,2,2,2,3,4,4,4,4,5,6,4,4,4,5,2,3,4,4,4,4,3,3,NA,NA,4,3,6,6,4,5,NA,NA,3,3,4,4,NA,NA,2,2,NA,NA,2,2,6,6,NA,NA,5,5,3,3,3,3,NA,NA,2,2,4,3,2,2,NA,NA,4,5,6,6,3,2,3,4,3,3
51,"70",3,3,4,4,4,4,NA,7,NA,NA,6,7,NA,NA,NA,NA,3,4,NA,NA,4,4,NA,NA,NA,7,NA,7,6,7,3,2,5,5,3,3,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,7,3,4,4,4,4,4,3,3,4,4,4,4,NA,7,NA,7,6,7,3,2,4,4,3,3,NA,NA,NA,NA,3,3,NA,7,NA,NA,NA,7,2,2,3,3,2,3,NA,2,2,2,2,2,NA,7,6,7,NA,7,3,2,5,5,NA,NA
52,"30",3,3,3,3,5,5,6,6,4,5,5,5,4,4,2,2,4,4,4,4,NA,NA,4,4,5,5,6,6,5,5,NA,NA,NA,3,NA,NA,NA,NA,3,3,NA,NA,3,2,5,5,NA,NA,NA,NA,2,2,NA,NA,4,4,3,3,NA,NA,NA,7,6,6,NA,NA,3,3,2,4,NA,NA,4,4,NA,NA,4,4,5,5,5,5,5,5,3,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,6,5,4,4,5,NA,NA
53,"31",NA,4,NA,4,NA,3,NA,4,NA,5,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,4,NA,4,NA,5,NA,3,NA,4,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,3,NA,4,NA,3,NA,5,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,2,NA,3,NA,3,NA,4,NA,5,NA,4,NA,4,NA,4,NA,NA
54,"47",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
55,"42",NA,NA,2,3,3,2,NA,7,5,5,6,7,2,2,2,2,3,2,5,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,3,2,2,3,2,3,6,2,2,3,3,2,NA,NA,5,5,NA,NA,NA,NA,NA,3,NA,4,NA,NA,3,3,2,3,NA,NA,5,5,NA,NA,NA,NA,2,3,2,3,6,NA,5,NA,2,3,6,7,NA,7,6,7,NA,NA,2,2,3,2,5,2,2,3,NA,NA,5,6,5,7,NA,7,3,2,NA,NA,3,3
56,"21",5,2,NA,2,5,2,2,6,NA,NA,NA,NA,5,3,2,4,6,2,NA,NA,5,2,6,NA,NA,NA,3,5,NA,NA,NA,NA,3,4,6,2,5,3,5,3,6,2,NA,7,2,5,2,6,5,4,5,3,5,3,NA,NA,5,3,6,2,NA,7,4,5,2,6,6,2,6,3,NA,NA,3,2,4,3,NA,NA,NA,6,3,3,NA,NA,5,2,5,2,5,3,4,4,5,3,4,3,3,4,2,5,2,6,NA,NA,3,3,NA,NA
57,"30",NA,3,NA,3,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,2,2,2,3,NA,NA,NA,6,NA,4,NA,6,2,2,NA,4,NA,3,NA,2,2,3,NA,3,NA,NA,NA,5,NA,5,2,2,2,4,3,3,2,3,2,4,2,4,NA,6,NA,NA,2,5,2,2,2,3,2,4,NA,NA,NA,4,NA,NA,3,6,NA,5,NA,NA,NA,3,2,3,2,3,NA,2,2,4,NA,3,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,3
58,"73",NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,5,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,4,NA,2,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,5,4,5,4,5,4,5,4,5,4,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,2,4,4,NA,NA,NA,NA,NA,4
59,"24",5,4,4,3,NA,NA,5,4,2,2,4,4,NA,NA,4,4,5,4,4,4,NA,NA,NA,4,NA,NA,NA,4,4,5,4,4,2,3,5,5,5,6,NA,NA,4,4,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,4,4,NA,NA,4,4,3,5,NA,2,4,2,NA,NA,NA,4,NA,NA,4,4,5,4,NA,NA,NA,NA,5,4,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,5,5,5,5,4,4,2,6,5,6
60,"33",2,5,5,6,4,5,2,5,5,4,2,5,NA,NA,NA,4,2,5,3,3,2,4,6,4,NA,NA,6,3,5,2,NA,NA,2,7,NA,NA,NA,2,4,5,6,6,NA,NA,2,6,2,5,3,6,2,6,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,5,3,6,6,4,NA,NA,3,3,4,3,6,3,5,6,NA,NA,5,5,2,5,5,6,3,6,6,5,NA,5,2,5,4,4,2,6,NA,3,NA,4,6,7,2,7,5,7
61,"72",3,3,3,2,3,2,3,6,NA,NA,3,5,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,3,5,3,5,3,5,3,2,3,2,2,2,NA,NA,3,2,3,3,3,6,3,5,3,6,3,2,3,4,3,2,3,2,3,2,3,2,3,5,2,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,6,3,6,4,6,3,2,3,NA,3,2,3,2,3,4,3,2,2,4,3,4,3,6,3,2,NA,NA,3,2
62,"29",4,4,6,5,NA,NA,6,5,NA,7,6,5,NA,2,NA,NA,6,4,5,3,6,NA,2,6,5,4,NA,6,6,NA,NA,5,2,6,3,3,2,5,NA,NA,NA,NA,6,7,2,NA,3,5,4,3,3,7,6,5,4,5,5,4,NA,NA,5,5,6,4,NA,5,NA,2,NA,2,6,4,NA,2,2,6,2,NA,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,4,4,NA,NA,NA,NA,2,4,5,4,2,3
63,"38",4,4,4,4,NA,NA,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,4,4,4,4,NA,NA
64,"70",NA,NA,NA,NA,3,2,NA,NA,4,7,5,6,5,NA,4,2,NA,NA,5,NA,4,NA,6,NA,4,7,4,6,5,6,3,3,4,4,NA,NA,5,NA,4,2,NA,NA,5,7,5,6,4,6,3,3,3,2,NA,NA,4,2,3,3,4,NA,5,7,NA,NA,4,7,NA,NA,5,3,5,3,4,2,3,3,NA,2,5,7,4,7,5,7,NA,NA,4,2,4,2,4,2,4,3,4,3,4,7,3,6,4,6,5,NA,4,3,4,3
65,"40",2,2,3,2,NA,NA,NA,6,5,6,6,7,2,2,3,2,NA,NA,4,4,2,NA,2,2,4,6,6,6,NA,6,5,4,2,5,NA,3,6,6,2,2,2,3,6,7,6,7,6,7,NA,NA,3,4,NA,NA,2,2,6,6,4,2,5,6,NA,NA,NA,5,4,5,5,6,2,2,3,3,2,2,NA,NA,6,7,NA,NA,5,5,2,3,2,2,2,2,3,4,2,3,3,3,NA,NA,NA,6,NA,6,2,2,2,2,NA,NA
66,"30",3,3,3,2,3,3,5,5,5,5,5,5,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,3,3,4,3,4,3,3,3,4,3,NA,NA,3,3,6,7,4,4,4,4,4,4,2,2,4,4,4,3,6,6,5,6,4,5,NA,NA,5,5,3,3,3,4,NA,NA,NA,NA,NA,NA,4,3,6,6,3,3,3,3,3,3,4,3,2,NA,4,3,NA,7,4,5,3,3,4,2,4,3,2,2
67,"40",NA,NA,4,6,2,2,5,6,NA,NA,6,5,4,6,4,5,2,2,NA,NA,3,3,3,3,NA,7,6,6,NA,7,2,3,4,3,3,2,NA,NA,2,4,NA,NA,6,6,NA,5,6,6,2,3,4,4,5,4,3,3,3,3,3,4,5,5,6,5,5,5,3,2,2,2,2,3,3,3,2,2,NA,NA,NA,NA,6,6,6,5,NA,NA,NA,NA,2,3,2,2,2,2,2,3,6,6,NA,5,6,5,3,3,NA,NA,3,2
68,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"29",5,6,NA,6,NA,NA,6,6,NA,7,6,6,NA,5,5,4,NA,NA,6,6,NA,NA,6,6,6,5,NA,6,6,6,NA,6,6,6,NA,7,NA,NA,NA,6,NA,NA,NA,6,6,6,6,5,NA,6,NA,6,NA,4,5,4,NA,NA,6,5,6,5,NA,NA,6,6,6,6,NA,5,6,6,6,6,6,6,NA,5,6,6,NA,NA,NA,6,6,6,NA,NA,6,5,6,5,NA,7,NA,NA,6,5,6,6,NA,6,6,5,6,6,5,6
70,"30",5,5,4,3,4,3,4,5,5,6,4,4,6,2,4,2,NA,NA,4,2,5,3,4,3,NA,NA,3,5,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,4,5,4,6,5,6,4,4,3,3,4,3,4,3,4,3,4,3,5,5,6,6,5,6,4,3,5,4,5,3,4,3,5,2,4,4,4,2,5,6,4,3,NA,NA,4,4,4,3,NA,4,5,2,5,2,4,5,3,6,4,3,5,5,NA,NA,NA,NA
71,"36",4,4,6,4,4,4,NA,7,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,4,4,4,4,6,4,4,4,5,4,4,4,4,4,4,4,NA,NA,4,4,4,4,NA,7,NA,7,4,4,NA,7,4,4,5,4,5,3,4,4,4,4,NA,7,NA,7,NA,NA,NA,NA,NA,NA,5,4,NA,4,4,4,NA,7,NA,7,4,4,4,4,NA,5,NA,NA,NA,NA,5,4,NA,7,NA,4,4,4,NA,7,NA,4,4,4,NA,3
72,"23",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,2,NA,NA,4,6,4,4,5,5,4,4,4,4,4,4,4,3,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,3,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,6,4,4
73,"42",NA,NA,3,3,4,4,6,7,5,5,6,6,NA,4,NA,2,NA,3,2,NA,NA,2,NA,2,NA,6,6,5,5,5,3,3,3,4,NA,NA,4,5,3,4,4,3,6,5,NA,NA,5,6,NA,2,3,4,NA,NA,3,3,NA,3,2,2,6,6,NA,NA,NA,6,4,2,4,5,NA,3,NA,NA,NA,NA,NA,2,NA,6,4,3,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,3,6,7,5,5,NA,6,NA,NA,4,4,4,6
74,"24",5,5,5,3,5,4,5,3,5,3,4,4,NA,NA,3,5,3,6,4,6,NA,NA,5,5,NA,NA,4,5,5,5,NA,NA,5,3,3,4,4,4,5,3,4,4,5,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,5,3,4,4,4,5,4,NA,NA,4,4,NA,NA,5,5,5,3,5,4,NA,NA,5,3,NA,NA,6,4,5,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,5,3,5,4,6,5,NA,NA,4,4,4,3,5,3
75,"23",4,4,NA,NA,4,3,6,6,4,4,3,4,2,4,3,NA,3,2,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,3,2,4,3,4,5,4,3,5,6,NA,NA,5,5,NA,NA,4,4,4,4,4,4,NA,NA,4,4,5,2,NA,NA,5,6,5,3,NA,NA,NA,6,3,3,4,5,3,3,5,5,3,5,5,6,4,5,4,4,4,3
76,"28",5,3,6,5,NA,NA,NA,NA,4,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,5,NA,NA,6,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,3,5,5,NA,NA,NA,NA,NA,NA,6,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,3,NA,3,NA,NA,NA,NA,2,5,NA,NA,5,3,NA,2
77,"54",3,3,4,3,4,3,5,6,NA,NA,3,5,4,2,NA,NA,4,2,5,2,3,3,5,2,4,6,4,5,NA,NA,5,2,NA,NA,4,3,4,3,4,3,4,3,5,5,2,5,4,6,4,3,3,3,NA,NA,4,3,NA,NA,3,3,5,6,NA,NA,5,6,4,3,3,3,4,3,4,2,NA,NA,4,2,4,6,4,5,4,6,5,2,4,3,5,2,NA,NA,3,3,4,3,NA,NA,3,5,4,5,4,2,3,3,4,3
78,"65",5,2,5,3,6,NA,5,7,NA,NA,5,6,NA,NA,6,NA,5,2,NA,NA,6,NA,NA,NA,6,7,5,6,5,6,5,2,5,3,5,3,NA,NA,6,NA,6,NA,6,7,5,5,5,6,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,5,6,5,2,5,3,5,3,NA,NA,6,NA,NA,NA,6,7,5,6,NA,NA,5,2,6,NA,5,2,NA,NA,5,2,6,2,6,7,5,6,6,7,6,NA,5,3,NA,NA
79,"41",NA,4,NA,NA,5,4,NA,4,NA,4,NA,7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,7,NA,7,NA,7,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,7,NA,4,NA,4,NA,4,NA,NA,NA,4,4,4,NA,4,NA,NA,NA,7,NA,NA,NA,4,5,4,NA,4,NA,NA,4,4,NA,4,NA,4,NA,7,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,7,5,5,NA,4,NA,4,4,4
80,"23",4,4,4,4,2,3,4,4,4,4,4,4,NA,NA,4,4,NA,NA,3,2,4,4,NA,NA,4,5,3,5,5,6,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,3,4,4,4,4,5,5,3,3,3,4,NA,NA,3,2,4,4,2,2,NA,NA,NA,NA,5,6,4,4,NA,NA,2,3,2,NA,4,3,4,3,5,6,5,5,4,4,2,3,2,2,4,4,NA,NA,3,3,3,3,6,7,NA,3,5,6,NA,NA,4,4,4,3
81,"53",NA,NA,2,2,NA,NA,6,6,5,5,NA,NA,2,3,NA,NA,3,4,NA,NA,2,4,NA,2,5,6,NA,NA,NA,3,2,2,4,4,NA,2,NA,NA,3,4,3,4,NA,NA,4,5,5,5,2,3,NA,NA,4,3,2,4,NA,2,2,3,5,6,4,4,3,4,NA,NA,3,3,2,2,2,NA,4,4,NA,NA,NA,7,5,6,6,6,2,2,2,2,NA,NA,2,3,3,4,NA,NA,5,5,5,6,5,5,2,2,5,5,3,2
82,"27",NA,NA,6,6,4,5,4,4,5,5,5,4,5,4,4,5,4,5,5,3,4,5,2,3,6,5,5,5,5,6,NA,NA,4,4,4,4,NA,NA,4,5,NA,NA,6,6,5,5,5,5,4,5,5,5,2,3,4,5,2,3,4,3,NA,NA,5,5,4,5,4,4,NA,NA,4,4,5,3,5,5,NA,NA,5,5,NA,NA,5,5,NA,NA,4,4,6,5,NA,NA,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,4
83,"57",5,2,5,2,5,3,6,7,4,5,6,6,4,2,5,NA,NA,NA,6,NA,5,2,5,2,6,7,5,6,5,6,NA,NA,5,3,5,NA,NA,NA,4,3,NA,NA,NA,NA,4,5,6,7,NA,NA,4,3,5,3,5,2,4,3,5,2,6,7,4,5,5,6,5,NA,4,3,5,NA,5,NA,4,3,4,4,5,6,4,4,NA,NA,6,NA,5,2,5,NA,5,NA,5,2,5,2,6,7,NA,NA,5,6,6,NA,5,3,NA,NA
84,"21",4,4,5,6,5,NA,6,3,NA,7,NA,NA,3,3,NA,7,NA,NA,4,4,3,3,NA,NA,3,4,2,6,NA,NA,2,3,NA,2,NA,NA,4,4,4,6,3,3,4,4,3,3,NA,NA,5,5,2,3,NA,NA,6,6,4,5,NA,NA,NA,7,NA,2,4,5,6,6,5,5,NA,NA,NA,NA,2,5,NA,4,2,5,NA,NA,6,4,3,5,NA,NA,3,4,3,6,4,5,2,5,NA,NA,2,2,NA,7,NA,7,NA,NA,3,4
85,"55",NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,2,NA,3,3,6,NA,5,2,5,2,2,2,4,2,3,NA,NA,NA,3,NA,NA,3,7,2,6,2,6,NA,3,NA,NA,2,3,2,4,3,4,2,3,NA,NA,NA,NA,3,6,2,3,2,3,NA,3,NA,2,NA,4,NA,3,3,7,2,5,4,7,3,3,3,3,NA,3,3,3,NA,NA,2,3,4,7,3,6,2,7,2,2,2,3,2,3
86,"54",4,3,2,2,3,2,3,4,3,2,3,3,5,3,NA,NA,NA,NA,3,3,3,3,NA,NA,2,2,3,3,3,3,2,2,NA,NA,3,4,NA,NA,4,4,NA,NA,3,4,4,4,3,7,3,4,NA,NA,4,4,3,3,4,4,NA,NA,3,3,2,3,3,3,3,3,3,3,3,3,5,4,4,4,NA,NA,5,5,4,4,3,4,4,4,4,5,4,5,3,3,3,3,4,4,NA,NA,4,4,4,4,4,3,4,4,4,4
87,"47",6,2,6,2,NA,NA,NA,7,5,5,NA,7,NA,NA,5,3,NA,NA,NA,NA,6,2,NA,NA,NA,7,NA,NA,NA,7,6,2,NA,NA,5,3,6,2,3,3,6,2,NA,7,NA,NA,6,6,NA,NA,4,4,2,4,6,2,5,3,6,2,NA,7,NA,NA,6,6,NA,2,5,3,5,3,NA,NA,5,3,6,2,NA,7,NA,NA,6,6,NA,NA,5,2,NA,NA,6,2,5,3,5,3,NA,NA,5,6,6,6,NA,NA,4,4,6,2
88,"60",4,4,5,3,4,3,3,6,3,5,5,6,3,3,3,3,3,3,6,NA,3,2,5,2,NA,NA,NA,NA,3,4,3,4,3,3,4,4,3,3,NA,NA,3,3,3,5,4,5,4,5,NA,NA,3,4,3,4,3,4,NA,NA,3,5,NA,7,NA,NA,3,7,6,5,5,3,3,3,NA,NA,5,2,NA,NA,6,7,3,5,3,6,5,3,5,3,NA,NA,2,3,5,3,2,3,6,7,6,6,5,6,5,3,4,4,4,3
89,"53",NA,NA,NA,NA,4,4,NA,NA,NA,2,3,2,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,6,NA,6,5,5,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,5,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
90,"70",4,3,2,3,4,3,NA,NA,5,5,NA,NA,3,3,4,4,3,3,NA,NA,2,2,NA,NA,6,6,5,5,5,7,2,3,4,3,3,2,NA,NA,3,3,NA,NA,6,7,3,5,5,5,4,3,4,4,4,4,2,2,4,3,NA,2,6,7,4,5,6,6,NA,NA,4,4,4,3,NA,NA,3,3,2,2,NA,7,NA,NA,NA,6,NA,NA,3,3,3,4,3,2,4,3,4,4,NA,NA,NA,NA,6,6,2,2,NA,NA,4,4
91,"48",4,3,NA,NA,4,5,NA,7,4,5,5,5,NA,NA,NA,NA,3,2,NA,NA,3,3,NA,NA,NA,7,4,5,NA,7,4,3,NA,NA,4,3,3,2,2,3,4,3,NA,7,5,5,NA,NA,2,4,NA,4,4,3,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,7,4,3,3,2,4,3,NA,NA,4,4,NA,2,NA,7,5,5,6,6,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,6,6,6,NA,NA,2,3,2,2
92,"24",4,2,4,2,4,3,5,7,5,5,6,5,2,NA,2,3,2,2,NA,NA,6,NA,NA,NA,6,6,NA,5,NA,6,3,2,3,2,6,NA,3,2,NA,NA,3,2,NA,NA,5,5,6,2,NA,NA,4,3,NA,NA,NA,NA,2,NA,3,NA,NA,NA,5,5,5,6,6,NA,2,2,4,3,3,2,3,2,3,2,6,6,5,7,6,6,6,NA,5,2,NA,NA,NA,NA,3,3,3,3,NA,7,6,5,6,7,5,3,NA,NA,2,2
93,"50",NA,NA,3,3,4,5,4,4,3,3,3,3,4,5,3,3,4,4,2,2,3,3,NA,NA,3,3,3,4,NA,NA,3,3,NA,NA,3,3,3,3,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,NA,NA,NA,4,5,3,3,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,4,3,3,2,2,3,3,4,4,3,3,NA,NA,NA,NA,3,3,4,4
94,"62",2,2,3,2,2,2,NA,7,4,5,5,5,NA,NA,2,2,NA,NA,NA,NA,3,3,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,NA,7,5,6,NA,NA,3,4,4,4,NA,NA,2,2,2,3,3,3,NA,7,5,5,NA,7,NA,NA,3,3,2,2,NA,NA,3,3,2,2,NA,7,NA,7,NA,7,2,2,2,2,NA,NA,NA,NA,3,3,3,3,NA,7,6,6,NA,NA,2,2,3,3,2,2
