"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
87,"Middle Age","47",6.33333333333333,1,6.6,5.33333333333333,2.5,4.8,6,1.66666666666667,5
88,"Older","60",5.2,1.6,4.4,5.25,2.75,4.66666666666667,4.8,2.33333333333333,4.6
89,"Middle Age","53",7,1.25,7,6.6,3,5.83333333333333,5.5,4.25,7
90,"Older","70",6.2,1.25,5.25,5.16666666666667,3,4.4,5.6,2,4.66666666666667
91,"Middle Age","48",6.83333333333333,1,5,4.8,2.8,5.25,5.6,1.8,5.4
92,"Younger","24",6.25,1.5,6.4,6.2,2.66666666666667,5.6,5.8,2.66666666666667,6
93,"Middle Age","50",4.83333333333333,4.16666666666667,4,5.6,4.33333333333333,6.2,4,4.33333333333333,4.25
94,"Older","62",6.5,1.16666666666667,6,5,2.16666666666667,5.2,5.4,1.75,6.33333333333333
95,"Older","64",7,7,7,7,6.8,7,7,6.75,7
96,"Middle Age","58",5.25,2,NA,4.75,3,NA,5.16666666666667,2,NA
96,"Older","58",NA,NA,5.2,NA,NA,5,NA,NA,5.25
97,"Middle Age","56",7,6.5,6.75,6.33333333333333,6.83333333333333,6.16666666666667,5.4,6.5,6.8
98,"Older","86 or older",6.66666666666667,3,5,6,4,6.16666666666667,6,3.16666666666667,5.83333333333333
99,"Younger","21",6.5,1,4.75,6.6,2.2,5.4,7,1,6.5
100,"Younger","27",6.25,1,6.2,6.4,1.16666666666667,6.16666666666667,6.2,1.2,6.33333333333333
